contractingofficeagencyid,dollarsobligated,fiscal_year,mod_parent,piid,productorservicecode,vendorname
DEPT OF THE NAVY,0,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),N6274212C3525,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,0,2016,DYNCORP,N6274212C3525,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-22261,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0020,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-22261,2016,DYNCORP,0020,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE AIR FORCE,85003517.78999999,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),FA489008C0004,M179: OPER OF GOVT OTHER WAREHOUSE BLDGS,DYNCORP INTERNATIONAL LLC
DEPT OF THE AIR FORCE,85003517.78999999,2016,DYNCORP,FA489008C0004,M179: OPER OF GOVT OTHER WAREHOUSE BLDGS,DYNCORP INTERNATIONAL LLC
DEPT OF THE AIR FORCE,0,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),FA810809D0004,J010: MAINT/REPAIR/REBUILD OF EQUIPMENT- WEAPONS,DYNCORP INTERNATIONAL LLC
DEPT OF THE AIR FORCE,0,2016,DYNCORP,FA810809D0004,J010: MAINT/REPAIR/REBUILD OF EQUIPMENT- WEAPONS,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",68051646.99000001,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMMA15F2545,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",68051646.99000001,2016,DYNCORP,SAQMMA15F2545,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",2618511.42,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMMA15F3637,R408: SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",2618511.42,2016,DYNCORP,SAQMMA15F3637,R408: SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",942158,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMMA16F0282,5430: STORAGE TANKS,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",942158,2016,DYNCORP,SAQMMA16F0282,5430: STORAGE TANKS,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-18940546.52,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMMA14F3126,AD21: R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH),DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-18940546.52,2016,DYNCORP,SAQMMA14F3126,AD21: R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH),DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",76134,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMMA14F0203,AD25: R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT),DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",76134,2016,DYNCORP,SAQMMA14F0203,AD25: R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT),DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-846526,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMMA14F3319,R497: SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-846526,2016,DYNCORP,SAQMMA14F3319,R497: SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,20338670,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),N0042111C0033,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,20338670,2016,DYNCORP,N0042111C0033,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",0,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMMA14D0151,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",0,2016,DYNCORP,SAQMMA14D0151,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,0,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),N0001915D0003,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,0,2016,DYNCORP,N0001915D0003,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-20280.58,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0023,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-20280.58,2016,DYNCORP,0023,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-14215.2,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0022,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-14215.2,2016,DYNCORP,0022,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-9916.8,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0021,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-9916.8,2016,DYNCORP,0021,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE AIR FORCE,21483955.14,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),FA861712C6208,R706: SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE AIR FORCE,21483955.14,2016,DYNCORP,FA861712C6208,R706: SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE ARMY,-24960,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,0027,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,UNIVERSITY OF SOUTHERN CALIFOR
DEPT OF THE NAVY,-24960,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,0027,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,UNIVERSITY OF SOUTHERN CALIFOR
DEPT OF THE ARMY,-24960,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0027,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-24960,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0027,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE ARMY,-24960,2016,DYNCORP,0027,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-24960,2016,DYNCORP,0027,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-21091.8,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0028,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-21091.8,2016,DYNCORP,0028,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-981.74,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0033,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-981.74,2016,DYNCORP,0033,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-251231.47999999998,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMPD05C1103,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-251231.47999999998,2016,DYNCORP,SAQMPD05C1103,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-5513.46,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0025,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-5513.46,2016,DYNCORP,0025,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-61842,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMPD06FC640,U006: EDUCATION/TRAINING- VOCATIONAL/TECHNICAL,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-61842,2016,DYNCORP,SAQMPD06FC640,U006: EDUCATION/TRAINING- VOCATIONAL/TECHNICAL,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-6000,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMPD06FB140,4920: AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-6000,2016,DYNCORP,SAQMPD06FB140,4920: AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-135934.36,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),SAQMMA11F0714,1080: CAMOUFLAGE AND DECEPTION EQUIPMENT,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",-135934.36,2016,DYNCORP,SAQMMA11F0714,1080: CAMOUFLAGE AND DECEPTION EQUIPMENT,DYNCORP INTERNATIONAL LLC
DEPT OF THE AIR FORCE,11104661.379999999,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),FA300209C0024,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEPT OF THE AIR FORCE,11104661.379999999,2016,DYNCORP,FA300209C0024,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),49760.56,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),Z549,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),49760.56,2016,DYNCORP,Z549,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
SMITHSONIAN INSTITUTION,7384.74,2016,VORNADO REALTY TRUST,F16PO7320000342951,H143: QUALITY CONTROL- PUMPS AND COMPRESSORS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,7360.2,2016,VORNADO REALTY TRUST,DJM16A43C0008,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
U.S. MARSHALS SERVICE,9871.28,2016,VORNADO REALTY TRUST,DJM16A43C0012,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
DEPT OF THE ARMY,0,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,0036,AZ11: R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),UNIVERSITY OF SOUTHERN CALIFOR
U.S. MARSHALS SERVICE,16920,2016,VORNADO REALTY TRUST,DJM16A43C0016,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
DEFENSE LOGISTICS AGENCY,18798.12,2016,EXXON MOBIL CORPORATION,0432,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,106007.3,2016,EXXON MOBIL CORPORATION,0423,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,21701.44,2016,EXXON MOBIL CORPORATION,0424,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19724.62,2016,EXXON MOBIL CORPORATION,0412,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,15590.62,2016,EXXON MOBIL CORPORATION,0440,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19909.36,2016,EXXON MOBIL CORPORATION,0417,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19882.52,2016,EXXON MOBIL CORPORATION,0415,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,6884.32,2016,EXXON MOBIL CORPORATION,0427,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20410.54,2016,EXXON MOBIL CORPORATION,0416,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,111801.6,2016,EXXON MOBIL CORPORATION,0441,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19892.58,2016,EXXON MOBIL CORPORATION,0422,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19354.34,2016,EXXON MOBIL CORPORATION,0434,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19912.7,2016,EXXON MOBIL CORPORATION,0419,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19867.16,2016,EXXON MOBIL CORPORATION,0429,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,11099.22,2016,EXXON MOBIL CORPORATION,0433,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20438.22,2016,EXXON MOBIL CORPORATION,0414,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,9297.28,2016,EXXON MOBIL CORPORATION,0420,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19694.7,2016,EXXON MOBIL CORPORATION,0413,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,42444.88,2016,EXXON MOBIL CORPORATION,0428,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,45098.7,2016,EXXON MOBIL CORPORATION,0418,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,18769.64,2016,EXXON MOBIL CORPORATION,0430,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20452.06,2016,EXXON MOBIL CORPORATION,0421,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,15587.98,2016,EXXON MOBIL CORPORATION,0439,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,30429.96,2016,EXXON MOBIL CORPORATION,0445,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,6748.42,2016,EXXON MOBIL CORPORATION,0447,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,15567.02,2016,EXXON MOBIL CORPORATION,0448,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,15590.62,2016,EXXON MOBIL CORPORATION,0449,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),0,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),Z526,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),0,2016,DYNCORP,Z526,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE LOGISTICS AGENCY,22072.1,2016,EXXON MOBIL CORPORATION,0397,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,21728.66,2016,EXXON MOBIL CORPORATION,0404,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20285.62,2016,EXXON MOBIL CORPORATION,0402,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20996.44,2016,EXXON MOBIL CORPORATION,0408,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,24920.02,2016,EXXON MOBIL CORPORATION,0398,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,21754.48,2016,EXXON MOBIL CORPORATION,0400,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,67460.34,2016,EXXON MOBIL CORPORATION,0407,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19741.22,2016,EXXON MOBIL CORPORATION,0411,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,44338.82,2016,EXXON MOBIL CORPORATION,0405,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,22030.96,2016,EXXON MOBIL CORPORATION,0395,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,28281.1,2016,EXXON MOBIL CORPORATION,0393,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19955.4,2016,EXXON MOBIL CORPORATION,0396,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,19925.08,2016,EXXON MOBIL CORPORATION,0399,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20282.2,2016,EXXON MOBIL CORPORATION,0403,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,20786.92,2016,EXXON MOBIL CORPORATION,0406,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
U.S. MARSHALS SERVICE,16920,2016,VORNADO REALTY TRUST,DJM16A43C0023,Z1AA: MAINTENANCE OF OFFICE BUILDINGS,VORNADO/CHARLES E. SMITH L.P.
DEFENSE LOGISTICS AGENCY,19033.54,2016,EXXON MOBIL CORPORATION,0450,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,3633.78,2016,EXXON MOBIL CORPORATION,0451,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,13618.04,2016,EXXON MOBIL CORPORATION,0452,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,17806.42,2016,EXXON MOBIL CORPORATION,0453,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),3650000,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),Z534,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),3650000,2016,DYNCORP,Z534,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE LOGISTICS AGENCY,17818.46,2016,EXXON MOBIL CORPORATION,0455,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,13611.18,2016,EXXON MOBIL CORPORATION,0454,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,41847,2016,EXXON MOBIL CORPORATION,0457,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE LOGISTICS AGENCY,111801.6,2016,EXXON MOBIL CORPORATION,0456,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),0,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),Z508,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),0,2016,DYNCORP,Z508,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),180000,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),Z545,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),180000,2016,DYNCORP,Z545,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),1993542,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),Z546,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),1993542,2016,DYNCORP,Z546,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE LOGISTICS AGENCY,4506.780000000001,2016,EXXON MOBIL CORPORATION,0458,"9130: LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",MOBIL OIL GUAM INC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),280000,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),Z544,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),280000,2016,DYNCORP,Z544,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE LOGISTICS AGENCY,31020.18,2016,EXXON MOBIL CORPORATION,0460,9140: FUEL OILS,MOBIL OIL GUAM INC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),978804,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),Z543,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),978804,2016,DYNCORP,Z543,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),1586322.3399999999,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),Z542,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),1586322.3399999999,2016,DYNCORP,Z542,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),315564,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),Z551,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),315564,2016,DYNCORP,Z551,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
"VETERANS AFFAIRS, DEPARTMENT OF",285980,2016,DUKE UNIVERSITY,VA24614C0231,Q522: MEDICAL- RADIOLOGY,"DUKE UNIVERSITY HEALTH SYSTEM, INC."
